post_id;post_name;version;tags_number;is_featured;score;created_at_day;created_at_daytime;launched_day;is_best_time_to_launch;is_best_day_to_launch;is_weekend;text_description_length;sentence_length_in_the_description;Bullet_points_explicit_features;emoji_in_description;tagline_length;emoji_in_tagline;are_there_video;are_there_tweetable_images;are_there_gif_images;number_of_gif;offers;promo_discount_codes;are_there_questions;hunter_id;hunter_name;hunter_has_twitter;hunter_has_website;hunter_followers;hunter_apps_made;hunter_follows_up_on_comments;maker_id;maker_name;maker_has_twitter;maker_has_website;maker_followers;maker_follows_up_on_comments
129680;Affinitweet;1.0;2;No;6;26/06/2018;26/06/2018 03:00:00;Tuesday;Yes;No;No;Long;Medium;No;No;Short;No;No;No;No;0;No;No;No;1270892;Thomas Reichling;Yes;Yes;Low;Few;Yes;1270892;Thomas Reichling;Yes;Yes;Low;Yes
129681;NoteToScreen;1.0;3;No;5;26/06/2018;26/06/2018 03:28:35;Tuesday;Yes;Yes;No;Short;Medium;No;No;Long;No;No;No;No;0;No;No;No;989413;Alex Studer;Yes;Yes;Low;Few;No;989413;Alex Studer;Yes;Yes;Low;Yes
129686;Aware;4.0;1;Yes;77;26/06/2018;27/06/2018 00:00:00;Wednesday;No;No;No;Short;Short;No;No;Medium;No;No;Yes;No;0;No;No;No;957781;Pushpak Chakraborty;No;No;Low;Few;Yes;957781;Pushpak Chakraborty;No;No;Low;No
129695;Rayz Pro Earphones;1.0;2;Yes;31;26/06/2018;26/06/2018 06:28:57;Tuesday;Yes;Yes;No;Long;Short;No;No;Short;No;Yes;No;No;0;No;No;No;916028;Haris Memon;No;No;Low;Few;Yes;916028;Haris Memon;No;No;Low;No
129697;BUCKIT;1.0;3;Yes;113;26/06/2018;27/06/2018 00:00:00;Wednesday;No;No;No;Long;Short;No;No;Medium;No;No;No;No;0;No;No;No;1208622;Victor Lim;No;No;Low;Few;Yes;1334432;Paweł Łączny;No;No;Low;No
129698;Product Path;1.0;2;No;4;26/06/2018;26/06/2018 07:12:52;Tuesday;Yes;Yes;No;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;1291655;Addison Hoff;Yes;Yes;Low;Few;No;1291655;Addison Hoff;Yes;Yes;Low;No
129704;USB93;1.0;1;No;11;26/06/2018;26/06/2018 08:46:05;Tuesday;Yes;Yes;No;Long;Short;No;No;Long;No;Yes;Yes;Yes;6;No;No;No;623342;Jitesh Dugar;Yes;Yes;Low;Few;No;1240722;Syed Akhtar;No;No;Low;Yes
129706;Bnotes;1.0;4;No;23;26/06/2018;26/06/2018 09:21:29;Tuesday;No;Yes;No;Short;Medium;No;No;Long;No;No;No;No;0;No;No;No;177524;nicholas mohnacky;Yes;Yes;Low;Few;No;81302;Ben S. Stahlhood II;Yes;No;Low;No
129711;reOptimize;1.0;6;Yes;260;26/06/2018;27/06/2018 00:00:00;Wednesday;No;No;No;Long;Short;No;No;Medium;No;No;No;Yes;1;No;No;No;450448;Vadim Solovey;No;Yes;Low;Few;Yes;254228;Vadim Solovey;Yes;No;Low;No
129713;Trila;1.0;3;No;8;26/06/2018;26/06/2018 10:49:40;Tuesday;No;Yes;No;Medium;Short;No;No;Medium;No;Yes;No;Yes;1;No;No;No;347845;Dennis Ippel;Yes;Yes;Low;Few;No;347845;Dennis Ippel;Yes;Yes;Low;Yes
129715;Punchbowl;1.0;4;Yes;85;26/06/2018;27/06/2018 00:00:00;Wednesday;No;No;No;Long;Short;No;No;Short;No;No;No;No;0;No;No;No;165374;Matt Douglas;Yes;Yes;Low;Few;Yes;165374;Matt Douglas;Yes;Yes;Low;No
129718;Instagram Direct Video Chat;1.0;4;Yes;339;26/06/2018;27/06/2018 01:32:04;Wednesday;Yes;No;No;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;171282;Faisal Hassan;Yes;No;Low;Few;Yes;717671;Mike Krieger;No;No;Low;No
129719;Qt Design Studio;1.0;3;No;4;26/06/2018;26/06/2018 13:30:20;Tuesday;No;Yes;No;Medium;Medium;No;No;Short;No;Yes;No;No;0;No;No;No;47663;Raz Karmi;Yes;Yes;Low;Few;No;158699;Petref Saraci;Yes;No;Low;No
129723;Developerhub.io;1.0;2;Yes;233;26/06/2018;26/06/2018 17:13:43;Tuesday;No;Yes;No;Long;Short;No;No;Long;No;No;No;No;0;No;No;No;1120244;Zaid Daba'een;Yes;Yes;Low;Few;Yes;1120244;Zaid Daba'een;Yes;Yes;Low;Yes
129726;Cubiques;1.0;5;No;3;26/06/2018;26/06/2018 21:06:39;Tuesday;No;Yes;No;Long;Medium;No;No;Long;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Satisfactory;No;151011;Dilmer Valecillos;Yes;Yes;Low;Yes
129727;Cubiques 2;2.0;5;Yes;31;26/06/2018;27/06/2018 00:50:28;Wednesday;Yes;No;No;Medium;Short;No;No;Long;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Satisfactory;Yes;151011;Dilmer Valecillos;Yes;Yes;Low;Yes
129728;Cubiques AR;1.0;5;No;3;26/06/2018;26/06/2018 21:19:57;Tuesday;No;Yes;No;Medium;Medium;No;No;Short;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Satisfactory;No;151011;Dilmer Valecillos;Yes;Yes;Low;Yes
