post_id;post_name;version;tags_number;is_featured;score;created_at_day;created_at_daytime;launched_day;is_best_time_to_launch;is_best_day_to_launch;is_weekend;positive_description_sentiment;negative_description_sentiment;discretized_positive_description_score;discretized_negative_description_score;discretized_neutral_description_score;text_description_length;sentence_length_in_the_description;bullet_points_explicit_features;emoji_in_description;tagline_length;emoji_in_tagline;are_there_video;are_there_tweetable_images;are_there_gif_images;number_of_gif;offers;promo_discount_codes;are_there_questions;hunter_id;hunter_name;hunter_has_twitter;hunter_has_website;hunter_followers;hunter_apps_made;hunter_follows_up_on_comments;hunter_is_maker;maker_id;maker_name;maker_has_twitter;maker_has_website;maker_followers;maker_follows_up_on_comments;maker_positive_comment;maker_negative_comment;discretized_maker_positive_comment_score;discretized_maker_negative_comment_score;discretized_maker_neutral_comment_score;others_positive_comment;others_negative_comment;discretized_others_positive_comment_score;discretized_others_negative_comment_score;discretized_others_neutral_comment_score;topic
129517;AI Central;1.0;4;Yes;350;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;1;-1;False;False;True;Short;Medium;No;No;Long;Yes;No;No;Yes;1;No;No;Yes;1328119;Ayo Kolapo;No;Yes;Low;Low;No;Yes;1328119;Ayo Kolapo;No;Yes;Low;Yes;2;-1;True;False;False;1;-1;False;False;True;creativity
129524;Cryptee;2.0;5;Yes;341;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;2;-1;True;False;False;Long;Medium;No;No;Long;No;Yes;No;Yes;1;Yes;No;Yes;887321;Omar ( ͡~ ͜ʖ ͡°);Yes;No;Low;Low;No;No;1252548;John Ozbay;No;Yes;Low;Yes;4;-4;True;True;False;4;-3;True;True;False;community
129527;Sales Pending CRM;1.0;1;Yes;39;25/06/2018;25/06/2018 00:00:00;Monday;No;No;No;1;-2;False;True;False;Long;Short;No;No;Medium;No;No;No;No;0;No;No;No;1307221;Daithí 🐋✨;Yes;No;Low;Low;No;Yes;1307221;Daithí 🐋✨;Yes;No;Low;Yes;1;-1;False;False;True;1;-1;False;False;True;web development
129531;Snapito;1.0;3;Yes;120;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;1;-1;False;False;True;Short;Short;No;No;Long;Yes;No;No;No;0;No;No;Yes;488647;Espen;Yes;Yes;Low;Low;No;No;359281;Neil Ellis;Yes;Yes;Low;No;1;-1;False;False;True;1;-1;False;False;True;community
129533;Roombelt;1.0;5;Yes;150;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;2;-1;True;False;False;Long;Short;No;No;Long;Yes;No;No;No;0;No;No;Yes;1320397;Mateusz Zieliński;Yes;No;Low;Low;No;Yes;1320397;Mateusz Zieliński;Yes;No;Low;Yes;2;-2;True;True;False;1;-1;False;False;True;community
129535;SnazzyDocs;1.0;5;Yes;167;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;2;-1;True;False;False;Long;Medium;No;No;Medium;Yes;No;No;No;0;No;No;No;1320907;Roger;Yes;No;Low;Low;No;Yes;1320907;Roger;Yes;No;Low;Yes;3;-2;True;True;False;1;-1;False;False;True;web development
129536;Bed and Biscuits;1.0;4;Yes;146;24/06/2018;24/06/2018 03:23:03;Sunday;Yes;No;Yes;2;-1;True;False;False;Long;Short;No;No;Long;Yes;No;No;No;0;No;No;No;1327843;Colin Moncton;No;No;Low;Low;No;Yes;1327843;Colin Moncton;No;No;Low;Yes;3;-2;True;True;False;1;-1;False;False;True;creativity
129539;FireHydrant;1.0;6;Yes;33;24/06/2018;24/06/2018 00:00:00;Sunday;No;No;Yes;1;-3;False;True;False;Short;Medium;No;No;Medium;No;No;No;No;0;No;No;No;126761;Bobby Tables;Yes;Yes;Low;Low;No;No;405321;Robert Ross;No;No;Low;No;1;-1;False;False;True;1;-1;False;False;True;web development
129546;Pusha;1.0;3;Yes;221;25/06/2018;25/06/2018 00:00:00;Monday;No;No;No;1;-1;False;False;True;Short;Short;No;No;Long;No;No;No;Yes;1;No;No;No;447488;Jascha Burmeister;Yes;No;Low;Low;No;Yes;447488;Jascha Burmeister;Yes;No;Low;Yes;2;-2;True;True;False;1;-1;False;False;True;community
129549;SpaceX Companion;1.0;4;Yes;145;24/06/2018;24/06/2018 03:18:38;Sunday;Yes;No;Yes;1;-1;False;False;True;Long;Short;No;No;Medium;Yes;No;No;No;0;No;No;No;599778;Jeroen Boumans;Yes;Yes;Low;Low;Yes;No;1330621;Roger Vaessen;Yes;No;Low;No;1;-1;False;False;True;4;-2;True;True;False;creativity
